;name;commissioning_year;;
16566;Hoheiko;1972;;
16569;Hongawa;1982;;
16577;Ikawa;1957;;
16579;Ikehara;1964;;
16581;Imaichi;1988;;
16605;Jozankei;1989;;
16618;Kannagawa;-;;
16633;Kazunogawa;-;;
16648;Kisenyama;1970;;
16679;Matanogawa;1986;;
16687;Mazegawa Daiichi;1976;;
16688;Mazegawa No.2;1976;;
16692;Miboro;-;;
16693;Midono;1969;;
16726;Nabara;1976;;
16727;Nagano;1968;;
16751;Niikappu;1974;;
16756;Nokanan;1971;;
16759;Numappara;1973;;
16770;Ohira;1975;;
16777;Okawachi;1992;;
16779;Okukiyotsu;1978;;
16780;Okumino;1994;;
16781;Okuniikappu;1963;;
16782;Okutadami;1960;;
16783;Okutataragi;1974;;
16784;Okuyahagi Daini;-;;
16785;Okuyoshino;1978;;
16786;Omarugawa;2007;;
16797;Oshirakawa;1963;;
16803;Otori;1963;;
16826;Sakuma;1956;;
16848;Shimogo;1988;;
16852;Shin Nariwagawa;1968;;
16855;Shin Takasegawa;-;;
16856;Shin Toyone;1972;;
16858;Shinanogawa;-;;
16864;Shiobara;1994;;
16886;Tadami;1989;;
16888;Tagokura;1959;;
16896;Takami;1983;;
16907;Takisato;1999;;
16908;Tamahara;1982;;
16912;Tedorigawa Daiichi;-;;
16916;Tenzan;1987;;
16919;Tokachi;1985;;
16936;Tomura;1978;;
16964;Uryu;1972;;
16976;Yagisawa;1965;;
16977;Yahagi No.1;-;;
16992;Yokoyama;1964;;
51431;Azumi;1969;2003;modernization
51441;Daini Numazawa;-;;
51479;Hatanagi No.2;1962;;
51501;Hitotsuse;-;;
